t,torque_offset_nm,gen_tq_meas_nm,gen_speed_rpm,rot_speed_rpm
3.54,0.0,12931130.0,0.5768751,0.5768751
3.55,0.0,12928070.0,0.5768256,0.5768256
3.56,0.0,12925010.0,0.5767758,0.5767758
3.57,0.0,12921950.0,0.5767258,0.5767258
3.58,0.0,12918900.0,0.5766755,0.5766755
3.59,0.0,12915840.0,0.576625,0.576625
3.6,0.0,12912790.0,0.5765743,0.5765743
3.61,0.0,12909740.0,0.5765234,0.5765234
3.62,0.0,12906700.0,0.5764722,0.5764722
3.63,0.0,12903650.0,0.5764208,0.5764208
3.64,0.0,12900610.0,0.5763692,0.5763692
3.65,0.0,12897570.0,0.5763174,0.5763174
3.66,0.0,12894530.0,0.5762654,0.5762654
3.67,0.0,12891490.0,0.5762131,0.5762131
3.68,0.0,12888450.0,0.5761607,0.5761607
3.69,0.0,12885420.0,0.576108,0.576108
3.7,0.0,12882390.0,0.5760551,0.5760551
3.71,0.0,12879360.0,0.5760021,0.5760021
3.72,0.0,12876330.0,0.5759488,0.5759488
3.73,0.0,12873300.0,0.5758953,0.5758953
3.74,0.0,12870280.0,0.5758417,0.5758417
3.75,0.0,12867250.0,0.5757878,0.5757878
3.76,0.0,12864230.0,0.5757338,0.5757338
3.77,0.0,12861210.0,0.5756795,0.5756795
3.78,0.0,12858190.0,0.5756251,0.5756251
3.79,0.0,12855170.0,0.5755706,0.5755706
3.8,0.0,12852150.0,0.5755158,0.5755158
3.81,0.0,12849140.0,0.5754609,0.5754609
3.82,0.0,12846120.0,0.5754058,0.5754058
3.83,0.0,12843110.0,0.5753506,0.5753506
3.84,0.0,12840100.0,0.5752952,0.5752952
3.85,0.0,12837090.0,0.5752397,0.5752397
3.86,0.0,12834080.0,0.575184,0.575184
3.87,0.0,12831070.0,0.5751281,0.5751281
3.88,0.0,12828070.0,0.5750721,0.5750721
3.89,0.0,12825060.0,0.575016,0.575016
3.9,0.0,12822060.0,0.5749598,0.5749598
3.91,0.0,12819050.0,0.5749034,0.5749034
3.92,0.0,12816050.0,0.5748468,0.5748468
3.93,0.0,12813050.0,0.5747902,0.5747902
3.94,0.0,12810050.0,0.5747334,0.5747334
3.95,0.0,12807050.0,0.5746765,0.5746765
3.96,0.0,12804050.0,0.5746195,0.5746195
3.97,0.0,12801050.0,0.5745624,0.5745624
3.98,0.0,12798050.0,0.5745053,0.5745053
3.99,0.0,12795050.0,0.5744479,0.5744479
4.0,0.0,12792050.0,0.5743905,0.5743905
4.01,0.0,12789060.0,0.5743331,0.5743331
4.02,0.0,12786060.0,0.5742756,0.5742756
4.03,0.0,12783060.0,0.5742179,0.5742179
4.04,0.0,12780070.0,0.5741602,0.5741602
4.05,0.0,12777070.0,0.5741024,0.5741024
4.06,0.0,12774080.0,0.5740445,0.5740445
4.07,0.0,12771080.0,0.5739866,0.5739866
4.08,0.0,12768090.0,0.5739287,0.5739287
4.09,0.0,12765100.0,0.5738707,0.5738707
4.1,0.0,12762100.0,0.5738126,0.5738126
4.11,0.0,12759110.0,0.5737545,0.5737545
4.12,0.0,12756110.0,0.5736964,0.5736964
4.13,0.0,12753120.0,0.5736382,0.5736382
4.14,0.0,12750130.0,0.57358,0.57358
4.15,0.0,12747130.0,0.5735218,0.5735218
4.16,0.0,12744140.0,0.5734636,0.5734636
4.17,0.0,12741140.0,0.5734053,0.5734053
4.18,0.0,12738150.0,0.5733471,0.5733471
4.19,0.0,12735160.0,0.5732889,0.5732889
4.2,0.0,12732160.0,0.5732306,0.5732306
4.21,0.0,12729170.0,0.5731723,0.5731723
4.22,0.0,12726170.0,0.5731141,0.5731141
4.23,0.0,12723180.0,0.5730559,0.5730559
4.24,0.0,12720180.0,0.5729977,0.5729977
4.25,0.0,12717190.0,0.5729396,0.5729396
4.26,0.0,12714190.0,0.5728815,0.5728815
4.27,0.0,12711190.0,0.5728233,0.5728233
4.28,0.0,12708200.0,0.5727653,0.5727653
4.29,0.0,12705200.0,0.5727073,0.5727073
4.3,0.0,12702200.0,0.5726494,0.5726494
4.31,0.0,12699200.0,0.5725915,0.5725915
4.32,0.0,12696200.0,0.5725337,0.5725337
4.33,0.0,12693200.0,0.5724759,0.5724759
4.34,0.0,12690200.0,0.5724183,0.5724183
4.35,0.0,12687200.0,0.5723607,0.5723607
4.36,0.0,12684200.0,0.5723032,0.5723032
4.37,0.0,12681200.0,0.5722457,0.5722457
4.38,0.0,12678190.0,0.5721884,0.5721884
4.39,0.0,12675190.0,0.5721312,0.5721312
4.4,0.0,12672180.0,0.5720741,0.5720741
4.41,0.0,12669180.0,0.572017,0.572017
4.42,0.0,12666170.0,0.5719601,0.5719601
4.43,0.0,12663160.0,0.5719033,0.5719033
4.44,0.0,12660160.0,0.5718466,0.5718466
4.45,0.0,12657150.0,0.57179,0.57179
4.46,0.0,12654140.0,0.5717335,0.5717335
4.47,0.0,12651130.0,0.5716772,0.5716772
4.48,0.0,12648120.0,0.571621,0.571621
4.49,0.0,12645100.0,0.5715649,0.5715649
4.5,0.0,12642090.0,0.571509,0.571509
4.51,0.0,12639080.0,0.5714532,0.5714532
4.52,0.0,12636060.0,0.5713975,0.5713975
4.53,0.0,12633040.0,0.5713421,0.5713421
4.54,0.0,12630030.0,0.5712867,0.5712867
4.55,0.0,12627010.0,0.5712316,0.5712316
4.56,0.0,12623990.0,0.5711766,0.5711766
4.57,0.0,12620970.0,0.5711219,0.5711219
4.58,0.0,12617950.0,0.5710673,0.5710673
4.59,0.0,12614930.0,0.5710129,0.5710129
4.6,0.0,12611900.0,0.5709587,0.5709587
4.61,0.0,12608880.0,0.5709047,0.5709047
4.62,0.0,12605860.0,0.5708508,0.5708508
4.63,0.0,12602830.0,0.5707973,0.5707973
4.64,0.0,12599800.0,0.5707439,0.5707439
4.65,0.0,12596780.0,0.5706908,0.5706908
4.66,0.0,12593750.0,0.5706379,0.5706379
4.67,0.0,12590720.0,0.5705852,0.5705852
4.68,0.0,12587680.0,0.5705327,0.5705327
4.69,0.0,12584650.0,0.5704805,0.5704805
4.7,0.0,12581620.0,0.5704286,0.5704286
4.71,0.0,12578590.0,0.5703769,0.5703769
4.72,0.0,12575550.0,0.5703254,0.5703254
4.73,0.0,12572520.0,0.5702742,0.5702742
4.74,0.0,12569480.0,0.5702233,0.5702233
4.75,0.0,12566440.0,0.5701727,0.5701727
4.76,0.0,12563400.0,0.5701222,0.5701222
4.77,0.0,12560360.0,0.5700722,0.5700722
4.78,0.0,12557320.0,0.5700223,0.5700223
4.79,0.0,12554280.0,0.5699728,0.5699728
4.8,0.0,12551240.0,0.5699235,0.5699235
4.81,0.0,12548200.0,0.5698745,0.5698745
4.82,0.0,12545150.0,0.5698258,0.5698258
4.83,0.0,12542110.0,0.5697774,0.5697774
4.84,0.0,12539060.0,0.5697293,0.5697293
4.85,0.0,12536020.0,0.5696815,0.5696815
4.86,0.0,12532970.0,0.569634,0.569634
4.87,0.0,12529920.0,0.5695868,0.5695868
4.88,0.0,12526870.0,0.5695399,0.5695399
4.89,0.0,12523820.0,0.5694933,0.5694933
4.9,0.0,12520780.0,0.569447,0.569447
4.91,0.0,12517720.0,0.569401,0.569401
4.92,0.0,12514680.0,0.5693554,0.5693554
4.93,0.0,12511620.0,0.5693101,0.5693101
4.94,0.0,12508570.0,0.5692651,0.5692651
4.95,0.0,12505520.0,0.5692204,0.5692204
4.96,0.0,12502470.0,0.569176,0.569176
4.97,0.0,12499410.0,0.5691319,0.5691319
4.98,0.0,12496360.0,0.5690882,0.5690882
4.99,0.0,12493310.0,0.5690448,0.5690448
5.0,0.0,12490250.0,0.5690017,0.5690017
5.01,0.0,12487200.0,0.5689589,0.5689589
5.02,0.0,12484140.0,0.5689165,0.5689165
5.03,0.0,12481090.0,0.5688744,0.5688744
5.04,0.0,12478030.0,0.5688326,0.5688326
5.05,0.0,12474980.0,0.5687912,0.5687912
5.06,0.0,12471920.0,0.56875,0.56875
5.07,0.0,12468870.0,0.5687092,0.5687092
5.08,0.0,12465810.0,0.5686687,0.5686687
5.09,0.0,12462760.0,0.5686285,0.5686285
5.1,0.0,12459700.0,0.5685887,0.5685887
5.11,0.0,12456650.0,0.5685492,0.5685492
5.12,0.0,12453590.0,0.5685099,0.5685099
5.13,0.0,12450540.0,0.5684711,0.5684711
5.14,0.0,12447480.0,0.5684325,0.5684325
5.15,0.0,12444430.0,0.5683943,0.5683943
5.16,0.0,12441380.0,0.5683564,0.5683564
5.17,0.0,12438320.0,0.5683188,0.5683188
5.18,0.0,12435270.0,0.5682815,0.5682815
5.19,0.0,12432220.0,0.5682446,0.5682446
5.2,0.0,12429160.0,0.5682079,0.5682079
5.21,0.0,12426110.0,0.5681716,0.5681716
5.22,0.0,12423060.0,0.5681356,0.5681356
5.23,0.0,12420010.0,0.5681,0.5681
5.24,0.0,12416970.0,0.5680646,0.5680646
5.25,0.0,12413920.0,0.5680296,0.5680296
5.26,0.0,12410870.0,0.5679948,0.5679948
5.27,0.0,12407820.0,0.5679604,0.5679604
5.28,0.0,12404780.0,0.5679264,0.5679264
5.29,0.0,12401740.0,0.5678927,0.5678927
5.3,0.0,12398690.0,0.5678592,0.5678592
5.31,0.0,12395650.0,0.5678262,0.5678262
